task_id,group,winner,dehb_beat_floor,ezr_beat_floor,n_decisions,rows,objective,coverage,x_dup_rate,med_ezr,med_dehb,R,I,drr,drr_commit,drr_dirty
config__SS-T,config,dehb,False,False,12,5184,multi,-3.42,0.0,0.03916168942061332,0.016132993086551577,12.0,3.0,0.75,defce44,True
config__SS-U,config,dehb,False,False,21,4608,multi,-4.83,0.0,0.24037049807236235,0.2300625753428522,21.0,5.0,0.7619047619047619,defce44,True
config__SS-V,config,dehb,True,False,16,6840,multi,-6.17,0.0,0.18630228161741252,0.010255703823111527,16.0,3.0,0.8125,defce44,True
config__SS-W,config,dehb,True,True,16,65536,multi,0.0,0.0,0.3030482933093106,0.14978750389250803,16.0,11.0,0.3125,defce44,True
config__SS-X,config,dehb,True,True,11,86058,multi,-2.93,0.0,0.21790024090783286,0.020358394680170557,11.0,2.0,0.8181818181818181,defce44,True
config__X264_AllMeasurements,config,dehb,False,False,16,1152,single,-2.83,0.0,0.0020805285486548935,4.971154495236438e-05,16.0,6.0,0.625,defce44,True
config__rs-6d-c3_obj1,config,dehb,False,False,6,3840,single,0.0,0.0,0.00011323600029591445,3.075613501750673e-05,6.0,2.0,0.6666666666666667,defce44,True
config__rs-6d-c3_obj2,config,tie,False,False,6,3840,single,0.0,0.0,3.4044991376604883e-06,1.1988390808238193e-06,6.0,2.0,0.6666666666666667,defce44,True
config__sol-6d-c2-obj1,config,dehb,False,False,6,2866,single,-0.01,0.0,0.014524717344856395,0.006876205264815855,6.0,2.0,0.6666666666666667,defce44,True
config__wc+rs-3d-c4-obj1,config,dehb,False,False,3,196,single,0.0,0.0,0.005541584824115595,0.0009497846403185346,3.0,1.0,0.6666666666666667,defce44,True
config__wc+sol-3d-c4-obj1,config,tie,False,False,3,196,single,0.0,0.0,0.003175611331750071,0.00042063105536839344,3.0,1.0,0.6666666666666667,defce44,True
config__wc+wc-3d-c4-obj1,config,dehb,False,False,3,196,single,0.0,0.0,0.005050049467496934,0.0011893376528480904,3.0,1.0,0.6666666666666667,defce44,True
config__wc-6d-c1-obj1,config,dehb,False,False,6,2880,single,0.0,0.0,0.004371832204746556,0.00021798787039641163,6.0,2.0,0.6666666666666667,defce44,True
financial_data__BankChurners,financial_data,dehb,True,False,19,10127,multi,-92.45,0.0,0.4353074477431942,0.25264405263287976,19.0,3.0,0.8421052631578947,defce44,True
financial_data__Loan,financial_data,dehb,True,True,31,20000,multi,-243.34,0.0,0.5442125607986364,0.2886900782558213,31.0,6.0,0.8064516129032258,defce44,True
financial_data__WA_Fn-UseC_-Telco-Customer-Churn,financial_data,tie,False,False,19,7043,multi,-29.45,0.0,0.00935973335391832,0.010215878907681485,19.0,3.0,0.8421052631578947,defce44,True
financial_data__home_data_for_ml_course,financial_data,dehb,True,False,77,1460,multi,-290.02,0.0,0.527874715442515,0.2797626335806803,77.0,4.0,0.948051948051948,defce44,True
health_data__Life_Expectancy_Data,health_data,ezr,True,True,20,2938,multi,-148.54,0.0,0.06661110781033239,0.10672152995747394,20.0,2.0,0.9,defce44,True
health_data__Medical_Data_and_Hospital_Readmissions,health_data,ezr,False,False,64,25000,single,-73.42,0.0,0.055,0.305,64.0,4.0,0.9375,defce44,True
hpo__Health-ClosedIssues0000,hpo,dehb,True,True,5,10000,multi,-6.62,0.0,0.16904261225465222,0.12120329874285589,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0001,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.43520629793743715,0.4050839685752234,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0002,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.1804095547244348,0.07164754612831847,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0003,hpo,dehb,True,False,5,10000,multi,-6.62,0.0,0.23752023326556693,0.11889551317947784,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0004,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.2797378625457494,0.2577538723335724,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0005,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.23242342885156347,0.21972298977290516,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0006,hpo,dehb,False,True,5,10000,multi,-6.62,0.0,0.08545302223440274,0.06823494035613525,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0007,hpo,dehb,True,True,5,10000,multi,-6.62,0.0,0.5482645053764197,0.19151277255654287,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0008,hpo,dehb,True,True,5,10000,multi,-6.62,0.0,0.2640529141328418,0.22788012980267042,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0009,hpo,dehb,True,False,5,10000,multi,-6.62,0.0,0.3094849577086062,0.18118876219302044,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0010,hpo,dehb,False,True,5,10000,multi,-6.62,0.0,0.4725988182026231,0.4448460537436829,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedIssues0011,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.004240961350349331,0.0,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0000,hpo,tie,False,False,5,10000,multi,-6.62,0.0,0.0,0.0,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0002,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.02112422895040218,0.02112422895040218,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0003,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.08309341603589031,0.08309341603589031,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0004,hpo,dehb,False,True,5,10000,multi,-6.62,0.0,0.2858355644123882,0.27797686810287536,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0005,hpo,tie,False,False,5,10000,multi,-6.62,0.0,0.0,0.0,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0006,hpo,dehb,True,False,5,10000,multi,-6.62,0.0,0.1177088851328702,0.02371606954051359,5.0,3.0,0.4,defce44,True
