dataset_name,n_cov_pairs,mean_pairwise_cov,mean_abs_pairwise_cov,stability_score,performance_score,stability_jaccard
Health-ClosedPRs0007,6,-0.00014348754023601806,0.0007347627570928835,17.0,0.0,0.5007
Health-ClosedPRs0008,6,-0.00014348754023601806,0.0007347627570928835,34.0,48.12,0.4627
Health-ClosedPRs0009,6,-0.00014348754023601806,0.0007347627570928835,3.0,53.79,0.4138
Health-ClosedPRs0010,6,-0.00014348754023601806,0.0007347627570928835,0.0,55.41,0.3967
Health-ClosedPRs0011,6,-0.00014348754023601806,0.0007347627570928835,1.0,0.0,0.4139
Health-Commits0000,6,-0.00014348754023601806,0.0007347627570928835,88.0,19.82,0.5918
Health-Commits0001,6,-0.00014348754023601806,0.0007347627570928835,0.0,3.39,0.4152
Health-Commits0002,6,-0.00014348754023601806,0.0007347627570928835,0.0,54.11,0.4095
Health-Commits0003,6,-0.00014348754023601806,0.0007347627570928835,0.0,43.12,0.4332
Health-Commits0004,6,-0.00014348754023601806,0.0007347627570928835,52.0,59.69,0.5143
Health-Commits0005,6,-0.00014348754023601806,0.0007347627570928835,20.0,17.19,0.5226
Health-Commits0006,6,-0.00014348754023601806,0.0007347627570928835,0.0,35.41,0.4279
Health-Commits0007,6,-0.00014348754023601806,0.0007347627570928835,31.0,26.04,0.4663
Health-Commits0008,6,-0.00014348754023601806,0.0007347627570928835,2.0,46.71,0.4326
Health-Commits0009,6,-0.00014348754023601806,0.0007347627570928835,0.0,22.06,0.5277
Health-Commits0010,6,-0.00014348754023601806,0.0007347627570928835,0.0,30.92,0.4323
Health-Commits0011,6,-0.00014348754023601806,0.0007347627570928835,0.0,0.0,0.3359
Car_price_cleaned,666,0.0029750367985127424,0.011029302735355366,6.0,21.39,0.1966
Wine_quality,45,0.0007536592716718178,0.0037527246408370005,0.0,33.83,0.2263
auto93,3,0.006617984091570369,0.051477869026579526,29.0,15.04,0.6609
coc1000,190,8.608455970590494e-05,0.0022495884554144785,0.0,23.22,0.1192
nasa93dem,0,,,17.0,18.48,0.7578
pom3a,36,0.00010740032756012442,0.0005638276829416477,0.0,25.67,0.283
pom3b,36,-4.743717091604852e-05,0.0004336513786398113,0.0,22.59,0.2572
pom3c,36,-3.6166675257647607e-07,0.00034229684587805685,0.0,36.0,0.2322
pom3d,36,-0.0007196781037435867,0.003059162889613834,0.0,16.48,0.2551
xomo_flight,231,6.220772270793051e-05,0.0006816573293175834,1.0,13.18,0.2971
xomo_ground,231,3.1846061032281815e-05,0.0006620246245485304,0.0,19.64,0.2626
xomo_osp,231,-5.0285207945169476e-05,0.0007092227847975066,0.0,17.28,0.2421
xomo_osp2,171,2.338724689600901e-05,0.0006237123921776133,0.0,18.38,0.2854
A2C_Acrobot,45,0.0028154506670485455,0.007539518352093317,0.0,23.82,0.2915
A2C_CartPole,21,-0.001707439534482314,0.0036743265685548676,2.0,52.33,0.4096
Marketing_Analytics,406,0.0011473103592879875,0.007692463031348381,0.0,28.07,0.2058
accessories,0,,,90.0,87.54,0.3991
dress-up,0,,,88.0,74.11,0.2769
