dataset,domain,n_rows,n_x,n_y,n_pairs,x_var_mean,x_var_std,x_var_min,x_var_max,corr_mean,corr_std,corr_min,corr_max,y_var_mean,y_var_std,y_var_min,y_var_max,performance_rmse,ezr_stability_agreement,stability_jaccard_mean,stability_jaccard_min,stability_jaccard_max
Medical_Data_and_Hospital_Readmissions,health_data,25000,64,1,2016,0.3177669530945677,0.29792709403629747,0.0,0.9997310399999999,0.031348794514226154,0.056229698489987,3.3585657371224975e-06,0.8287503030782768,0.9961908250932648,0.0,0.9961908250932648,0.9961908250932648,0.0,0.0,0.1607,0.0,0.7143
Health-ClosedIssues0000,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.38327940058582516,0.13074690770427877,0.21429392237268807,0.5327726160456853,12.89,64.0,0.5826,0.2,1.0
Health-ClosedIssues0001,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.4563075861535193,0.23669024565775829,0.14683030353201607,0.7215055740140428,47.39,0.0,0.6746,0.2,1.0
Health-ClosedIssues0002,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.6174193471035706,0.3844108925001053,0.0769277639409019,0.9382540486042266,20.28,0.0,0.6453,0.2,1.0
Health-ClosedIssues0003,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.17194248728058623,0.032390534946154355,0.1377781334407653,0.21545036809230825,20.01,0.0,0.6547,0.2,1.0
Health-ClosedIssues0004,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.25892963833154714,0.10750190394573558,0.1793615290737212,0.41090404914042883,48.79,0.0,0.7321,0.4,1.0
Health-ClosedIssues0005,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.5274741767915206,0.34651315766604185,0.17854415301427726,0.9999206168491577,32.17,0.0,0.6268,0.0,1.0
Health-ClosedIssues0006,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.2590923077353115,0.08797778238511451,0.13639095159745335,0.3382872619608049,17.32,0.0,0.626,0.2,1.0
Health-ClosedIssues0007,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.14281083818785376,0.06742667828517078,0.05705685358356512,0.2218018999120869,76.89,0.0,0.6395,0.2,1.0
Health-ClosedIssues0008,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.3074367599983138,0.14697313340164003,0.17583133412785615,0.5125652129241705,18.5,0.0,0.6433,0.2,1.0
Health-ClosedIssues0009,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.2255827952580448,0.028967683421424025,0.1937859915449573,0.26385109830858816,43.53,0.0,0.6158,0.2,1.0
Health-ClosedIssues0010,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.09450024974499127,0.05405488513798381,0.02999583304394129,0.1622810533458764,62.09,0.0,0.6349,0.2,1.0
Health-ClosedIssues0011,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.7239868080611757,0.06793288977381018,0.664373322874351,0.8190391678057893,0.0,0.0,0.5637,0.2,1.0
Health-ClosedPRs0000,hpo,10000,5,2,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.9429268264292835,0.0,0.9429268264292835,0.9429268264292835,0.0,100.0,0.8338,0.5,1.0
Health-ClosedPRs0002,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.6147777879034457,0.4201043796221399,0.021601599942204255,0.9403148403002524,0.0,0.0,0.6674,0.2,1.0
Health-ClosedPRs0003,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.6368918462502143,0.362824396521379,0.1267712006447974,0.9398584239888779,1.18,0.0,0.6474,0.2,1.0
Health-ClosedPRs0004,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.3963544928484961,0.07124414622028935,0.2957228892249005,0.45097759312854635,0.0,0.0,0.6484,0.2,1.0
Health-ClosedPRs0005,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.6327084851972261,0.34166294068837055,0.15248955914929255,0.9191070922915303,0.0,0.0,0.6371,0.2,1.0
Health-ClosedPRs0006,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.23528354236712998,0.10846597540652257,0.08205826227386362,0.3181261010799736,50.0,0.0,0.6797,0.2,1.0
Health-ClosedPRs0007,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.33987744748532994,0.21009573803796128,0.11872690721670953,0.6222946729645048,0.0,0.0,0.6079,0.0,1.0
Health-ClosedPRs0008,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.3257428973027617,0.0625867734092343,0.24113841635918748,0.390566631105799,18.86,0.0,0.7023,0.2,1.0
Health-ClosedPRs0009,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.2509401385919597,0.08672928116096232,0.14161097107584797,0.35375347273589125,48.15,0.0,0.6168,0.2,1.0
Health-ClosedPRs0010,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.25473259572614193,0.04402834555855208,0.20036588526633287,0.30820165837033103,50.17,0.0,0.6758,0.2,1.0
Health-ClosedPRs0011,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.6249072101597188,0.4127991349851164,0.041744550011720255,0.9398481768645166,0.0,4.0,0.6409,0.0,1.0
Health-Commits0000,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.5702870396470537,0.15432206686367236,0.3877332128163392,0.7651425498559077,16.17,74.0,0.5788,0.2,1.0
Health-Commits0001,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.7048015088336169,0.2755593719951475,0.31709151695161303,0.9327178154904803,3.39,0.0,0.6511,0.2,1.0
Health-Commits0002,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.6108686201548196,0.3772209257580407,0.08283841858280071,0.9406980044626437,51.63,0.0,0.6487,0.2,1.0
Health-Commits0003,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.22895105249081493,0.020845988195230394,0.2086183194830985,0.2576043822953674,36.15,0.0,0.5991,0.2,1.0
Health-Commits0004,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.26339375884958355,0.12104271892861902,0.11678863935360607,0.41322875558756117,59.43,0.0,0.6442,0.2,1.0
Health-Commits0005,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.47729510085962756,0.29681081820957805,0.10394526786060347,0.8301097758730468,8.91,7.0,0.6618,0.2,1.0
Health-Commits0006,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.41964346075381304,0.17155454357917585,0.1773167897738535,0.5510430325060551,30.71,0.0,0.7395,0.4,1.0
Health-Commits0007,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.39904101641246387,0.23995163794385935,0.16635177126132428,0.7292944261407733,8.14,26.0,0.5815,0.0,1.0
Health-Commits0008,hpo,10000,5,3,10,0.6809534660167201,0.15964075779649542,0.5894134073593847,0.9999720299999999,0.009602618323441016,0.005694779856624262,0.0030572735453999024,0.02311940009415606,0.1690318955978767,0.06975845849534512,0.07321592533084459,0.23728290604255517,36.2,0.0,0.6584,0.2,1.0
