dataset_name,mean_feature_var,mean_target_var,mean_pairwise_cor,stability_score,performance_score,stability_jaccard
SS-B,0.5173404119900088,0.40635741692064786,0.1317841908059182,53.0,9.43,0.7482
SS-C,0.6027720731707938,0.4684818578801406,1.5422308655711763e-16,68.0,11.72,0.6141
SS-D,0.706671198738667,0.37909546207103306,1.4395088444819186e-16,14.0,24.27,0.6439
SS-E,0.6612433980378705,0.3449589212815105,6.806942437192801e-16,54.0,25.91,0.6002
SS-F,0.706671198738667,0.44137364849696603,1.4395088444819186e-16,22.0,19.46,0.6017
SS-G,0.706671198738667,0.45187026342333836,1.4395088444819186e-16,16.0,20.26,0.5709
SS-H,0.7723223890737434,0.4779335375270434,0.03265667797177726,63.0,8.03,0.6715
SS-I,0.7773236189632933,0.3731746042890159,3.2246093684082925e-16,25.0,15.05,0.5454
SS-J,0.8274805652878322,0.46302146738580785,3.1130703788532967e-16,5.0,29.35,0.525
SS-K,0.8195314873468961,0.3978671712722398,1.7392379403135773e-16,38.0,31.77,0.5507
SS-L,0.8969366459002976,0.5854866357090631,0.013709000120810597,63.0,3.1,0.5085
SS-M,0.7712418300653594,0.7128766765335683,0.05873015873015873,9.0,1.07,0.5841
SS-N,0.4581467706875034,0.16030858487527716,0.058349802417655736,18.0,52.4,0.2914
SS-O,0.8318967514842851,0.3851816021213391,0.044444444444444446,0.0,13.9,0.498
SS-P,0.8864072654373736,0.5854866357090631,0.013709000120810656,0.0,5.47,0.6513
SS-Q,0.7754774062571522,0.5587863855387476,0.055270299970582866,0.0,3.97,0.4425
SS-R,0.7896521396402089,0.5429311499556602,0.06698072726391728,1.0,17.74,0.5174
SS-S,0.8274805652878322,0.46302146738580785,3.1130703788532967e-16,57.0,3.59,0.5096
SS-T,0.7145019279833301,0.4938999403250788,0.04545454545454546,7.0,3.93,0.5522
SS-U,0.7301587301587301,0.5783935452240051,0.03676470588235294,0.0,5.58,0.6286
SS-V,0.8197565428680692,0.4823344362202129,0.06630766523428647,0.0,21.31,0.5806
SS-W,1.0,0.3262937694147571,0.0,12.0,46.17,0.6315
SS-X,0.8696004999366004,0.3523526272514206,0.06581794308590239,26.0,39.04,0.6807
Scrum100k,0.16311923229999997,0.36213452906627186,0.02940174314516001,0.0,33.87,0.3157
Scrum10k,0.13454922419354837,0.40911297478955966,0.05708426953308494,0.0,25.62,0.242
Scrum1k,0.10086619354838709,0.4320180618765433,0.05799272877744157,4.0,20.0,0.3154
WA_Fn-UseC_-HR-Employee-Attrition,0.5656382198113088,0.37609793000068326,0.06556899376073369,1.0,22.19,0.2
WA_Fn-UseC_-Telco-Customer-Churn,0.9007884912111209,0.56072993055504,0.3430374110075931,1.0,1.83,0.4965
Wine_quality,0.2542940034855197,0.32536096006244397,0.2062829656686492,0.0,33.83,0.2263
X264_AllMeasurements,0.7708333333333333,0.5625129604536921,0.038461538461538464,11.0,2.49,0.6435
accessories,0.5891665045634926,0.1876958806910119,0.6149561324593698,90.0,87.54,0.3991
all_players,0.29954965503648606,0.3710182530642264,0.40372807371627834,0.0,25.94,0.1057
auto93,0.6601531335243127,0.4079989540710522,0.5199878648526678,29.0,15.04,0.6609
billing10k,0.15370018909090907,0.37399360757916184,0.015687710858863113,1.0,24.21,0.3194
coc1000,0.6142517279292525,0.47599682835645335,0.023878498646665892,0.0,23.22,0.1192
dataset120,0.4311877822832349,0.7127863506323178,0.37782403541432247,3.0,14.31,0.2234
dataset600,0.4295651281608076,0.7481012762320552,0.38367124798274915,0.0,14.76,0.2561
dconvert,0.7594779582961615,0.3823125869154494,0.074669333408287,17.0,8.88,0.2034
deeparch,1.0,0.4543223017397271,0.0,21.0,7.18,0.6444
dress-up,0.6095272170173562,0.09286804533410775,0.5870084268007022,88.0,74.11,0.2769
exastencils,0.7025394804805778,0.2881319715334267,0.06309855030561021,24.0,15.87,0.5508
home_data_for_ml_course,0.3849262611180908,0.3108681389319939,0.17129463540467113,1.0,40.25,0.1598
javagc,0.660126532010917,0.0606947291697625,0.08576246870092,52.0,5.05,0.156
nasa93dem,0.49721898135009474,0.2623005974025356,0.33168284151155414,17.0,18.48,0.7578
player_statistics_cleaned_final,0.3805686728835721,0.4027824964425065,0.3330126380786398,24.0,10.3,0.3456
pom3a,0.5770789853315513,0.3601619924438301,0.0067732731234438,0.0,25.67,0.283
pom3b,0.5773311426173353,0.367823045999002,0.005203130639905806,0.0,22.59,0.2572
pom3c,0.5766011053838556,0.37792859976458065,0.004116712818362159,0.0,36.0,0.2322
pom3d,0.5769775872712093,0.3668951537936607,0.03696293171061856,0.0,16.48,0.2551
redis,0.660142107407038,0.2383499582572945,0.06386373853094966,0.0,48.53,0.2798
rs-6d-c3_obj1,0.8274805652878322,0.5486417473864988,3.1130703788532967e-16,57.0,1.14,0.5068
rs-6d-c3_obj2,0.8274805652878322,0.3774011873851168,3.1130703788532967e-16,55.0,0.89,0.5223
socks,0.025126830425414616,0.3968046373471786,0.0475882718611803,24.0,6.26,0.6914
sol-6d-c2-obj1,0.8183673493771729,0.3924089938253656,0.0018524488744576216,31.0,4.85,0.4875
storm,0.9935994261400304,0.5042330431584632,0.032019002592585916,2.0,0.81,0.3118
student_dropout,0.6062814869275295,0.7220569808234196,0.10160965575092842,89.0,0.0,0.5666
wallpaper,0.7630983707416696,0.34132521971984986,0.6244854563667361,27.0,40.58,0.7135
wc+rs-3d-c4-obj1,0.706671198738667,0.3893945632642638,1.4395088444819186e-16,32.0,1.28,0.6642
wc+sol-3d-c4-obj1,0.706671198738667,0.3862195235765533,1.4395088444819186e-16,51.0,1.05,0.7027
wc+wc-3d-c4-obj1,0.706671198738667,0.3637433993863184,1.4395088444819186e-16,51.0,0.74,0.6631
wc-6d-c1-obj1,0.8195314873468961,0.4232982078910431,1.7392379403135773e-16,5.0,2.22,0.4799
x264,0.4276124366667591,0.1538840031811204,0.0583498024176616,11.0,46.7,0.3153
xomo_flight,0.5287751974888617,0.26793855447607356,0.008193750493428688,1.0,13.18,0.2971
xomo_ground,0.5296099407055791,0.2659966612025759,0.007930980780341062,0.0,19.64,0.2626
xomo_osp,0.5302106342359528,0.24462859939721734,0.008479080383251795,0.0,17.28,0.2421
xomo_osp2,0.4572152938393708,0.3689418052816135,0.007478570631051351,0.0,18.38,0.2854
