task,path,n_rows,n_used,R,I_fit,fit_r2,fit_n_radii,fit_degree,fit_argmax_frac,I_linear,I_maxgrad,drr_fit,drr_maxgrad,seed,runtime_s,status
config/SS-N.csv,data/moot/optimize/config/SS-N.csv,53662,2000,17,7.5991,0.9994,60,3,0.5614,7.1887,5.2143,0.553,0.6933,42,0.36,ok
config/SS-O.csv,data/moot/optimize/config/SS-O.csv,972,972,11,4.4654,0.9713,53,3,0.6867,3.5696,6.8159,0.5941,0.3804,42,0.04,ok
config/SS-P.csv,data/moot/optimize/config/SS-P.csv,1023,1023,11,4.2861,0.8509,4,1,0.0,4.2861,57.2818,0.6104,-4.2074,42,0.04,ok
config/SS-Q.csv,data/moot/optimize/config/SS-Q.csv,2736,2000,13,4.523,0.999,60,3,1.0,3.4138,7.0049,0.6521,0.4612,42,0.19,ok
config/SS-R.csv,data/moot/optimize/config/SS-R.csv,3008,2000,14,6.9603,0.9957,59,3,0.0,4.6539,7.985,0.5028,0.4296,42,0.18,ok
config/SS-S.csv,data/moot/optimize/config/SS-S.csv,3840,2000,6,5.1214,0.9935,60,3,1.0,1.7756,4.3791,0.1464,0.2702,42,0.16,ok
config/SS-T.csv,data/moot/optimize/config/SS-T.csv,5184,2000,12,5.3621,0.995,60,3,1.0,3.91,5.8105,0.5532,0.5158,42,0.19,ok
config/SS-U.csv,data/moot/optimize/config/SS-U.csv,4608,2000,21,7.9799,0.9954,4,1,0.0,7.9799,24.8236,0.62,-0.1821,42,0.23,ok
config/SS-V.csv,data/moot/optimize/config/SS-V.csv,6840,2000,16,6.6982,0.9769,35,3,0.5865,6.1403,10.0319,0.5814,0.373,42,0.19,ok
config/SS-W.csv,data/moot/optimize/config/SS-W.csv,65536,2000,16,7.0521,0.8625,4,1,0.0,7.0521,29.9189,0.5592,-0.8699,42,0.27,ok
config/SS-X.csv,data/moot/optimize/config/SS-X.csv,86058,2000,11,9.4418,0.9792,3,1,0.0,9.4418,43.973,0.1417,-2.9975,42,0.22,ok
config/X264_AllMeasurements.csv,data/moot/optimize/config/X264_AllMeasurements.csv,1152,1152,16,6.4503,0.9924,4,1,0.0,6.4503,25.0782,0.5969,-0.5674,42,0.06,ok
config/rs-6d-c3_obj1.csv,data/moot/optimize/config/rs-6d-c3_obj1.csv,3840,2000,6,5.1214,0.9935,60,3,1.0,1.7756,4.3791,0.1464,0.2702,42,0.16,ok
config/rs-6d-c3_obj2.csv,data/moot/optimize/config/rs-6d-c3_obj2.csv,3840,2000,6,5.1214,0.9935,60,3,1.0,1.7756,4.3791,0.1464,0.2702,42,0.15,ok
config/sol-6d-c2-obj1.csv,data/moot/optimize/config/sol-6d-c2-obj1.csv,2866,2000,6,3.7057,0.9841,60,3,1.0,1.7545,3.7361,0.3824,0.3773,42,0.15,ok
config/wc+rs-3d-c4-obj1.csv,data/moot/optimize/config/wc+rs-3d-c4-obj1.csv,196,196,3,1.9564,0.9785,54,3,1.0,0.8637,2.2067,0.3479,0.2644,42,0.0,ok
config/wc+sol-3d-c4-obj1.csv,data/moot/optimize/config/wc+sol-3d-c4-obj1.csv,196,196,3,1.9564,0.9785,54,3,1.0,0.8637,2.2067,0.3479,0.2644,42,0.0,ok
config/wc+wc-3d-c4-obj1.csv,data/moot/optimize/config/wc+wc-3d-c4-obj1.csv,196,196,3,1.9564,0.9785,54,3,1.0,0.8637,2.2067,0.3479,0.2644,42,0.0,ok
config/wc-6d-c1-obj1.csv,data/moot/optimize/config/wc-6d-c1-obj1.csv,2880,2000,6,3.2925,0.9886,60,3,1.0,1.5791,3.9254,0.4513,0.3458,42,0.15,ok
financial_data/BankChurners.csv,data/moot/optimize/financial_data/BankChurners.csv,10127,2000,19,8.0649,1.0,60,3,0.406,7.9155,10.5826,0.5755,0.443,42,0.33,ok
financial_data/Loan.csv,data/moot/optimize/financial_data/Loan.csv,20000,2000,31,17.5617,1.0,60,3,0.0,15.6716,36.9237,0.4335,-0.1911,42,0.54,ok
financial_data/WA_Fn-UseC_-Telco-Customer-Churn.csv,data/moot/optimize/financial_data/WA_Fn-UseC_-Telco-Customer-Churn.csv,7043,2000,19,8.4327,0.9801,9,2,0.0,8.1773,34.2373,0.5562,-0.802,42,0.23,ok
financial_data/home_data_for_ml_course.csv,data/moot/optimize/financial_data/home_data_for_ml_course.csv,1460,1460,77,10.8937,1.0,60,3,0.0,10.249,10.7775,0.8585,0.86,42,0.48,ok
health_data/Data_COVID19_Indonesia.csv,data/moot/optimize/health_data/Data_COVID19_Indonesia.csv,21759,2000,35,29.1208,0.9375,60,3,1.0,6.0285,102.0721,0.168,-1.9163,42,0.57,ok
health_data/Life_Expectancy_Data.csv,data/moot/optimize/health_data/Life_Expectancy_Data.csv,2938,2000,20,15.8377,1.0,60,3,0.0,10.479,12.4346,0.2081,0.3783,42,0.33,ok
health_data/Medical_Data_and_Hospital_Readmissions.csv,data/moot/optimize/health_data/Medical_Data_and_Hospital_Readmissions.csv,25000,2000,64,9.4513,0.9998,60,3,0.0,9.2405,10.0006,0.8523,0.8437,42,0.79,ok
hpo/Health-ClosedIssues0000.csv,data/moot/optimize/hpo/Health-ClosedIssues0000.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
