task_id,dir,rows,n_decisions,n_goals,drr_spread,drr_version,drr_seed,R,I,drr,sampling_applied
config__wc+rs-3d-c4-obj1,config,196,3,1,,1.0.5.dev1+g94c41c843,42,3,0.28749455707253996,0.90416848097582,False
config__wc+sol-3d-c4-obj1,config,196,3,1,,1.0.5.dev1+g94c41c843,42,3,0.28749455707253996,0.90416848097582,False
config__wc+wc-3d-c4-obj1,config,196,3,1,,1.0.5.dev1+g94c41c843,42,3,0.28749455707253996,0.90416848097582,False
config__wc-6d-c1-obj1,config,2880,6,1,,1.0.5.dev1+g94c41c843,42,6,0.7488473624651928,0.8751921062558012,False
financial_data__BankChurners,financial_data,10127,19,4,0.0003455663736420256,1.0.5.dev1+g94c41c843,42,19,0.9630039775860224,0.9493155801270514,True
financial_data__Loan,financial_data,20000,31,5,0.0027553419243198096,1.0.5.dev1+g94c41c843,42,31,2.3338274492343785,0.9247152435730845,True
financial_data__WA_Fn-UseC_-Telco-Customer-Churn,financial_data,7043,19,2,0.0032606113975730544,1.0.5.dev1+g94c41c843,42,19,1.6667650426552392,0.9122755240707769,True
financial_data__home_data_for_ml_course,financial_data,1460,77,4,,1.0.5.dev1+g94c41c843,42,77,3.407491846523416,0.9557468591360595,False
health_data__Life_Expectancy_Data,health_data,2938,20,2,,1.0.5.dev1+g94c41c843,42,20,0.6401484989421758,0.9679925750528912,False
health_data__Medical_Data_and_Hospital_Readmissions,health_data,25000,64,1,0.00032420860938220386,1.0.5.dev1+g94c41c843,42,64,4.6330775111469285,0.9276081638883292,True
hpo__Health-ClosedIssues0000,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0001,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0002,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0003,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0004,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0005,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0006,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0007,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0008,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0009,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0010,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedIssues0011,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0000,hpo,10000,5,2,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0002,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0003,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0004,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0005,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0006,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0007,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0008,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0009,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0010,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-ClosedPRs0011,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0000,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0001,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0002,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0003,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0004,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0005,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0006,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0007,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0008,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0009,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0010,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
hpo__Health-Commits0011,hpo,10000,5,3,0.007958505556909024,1.0.5.dev1+g94c41c843,42,5,2.3985898135951365,0.5202820372809727,True
misc__Car_price_cleaned,misc,205,38,5,,1.0.5.dev1+g94c41c843,42,38,0.9877971949652111,0.9740053369745997,False
misc__Wine_quality,misc,1599,10,2,,1.0.5.dev1+g94c41c843,42,10,2.2619957511222992,0.7738004248877701,False
misc__auto93,misc,398,4,3,,1.0.5.dev1+g94c41c843,42,4,1.0518633877217263,0.7370341530695684,False
process__coc1000,process,1000,20,5,,1.0.5.dev1+g94c41c843,42,20,9.026716592726542,0.5486641703636729,False
process__nasa93dem,process,93,22,3,,1.0.5.dev1+g94c41c843,42,22,2.197742072457701,0.9001026330701045,False
process__pom3a,process,20000,9,3,0.012303384723576616,1.0.5.dev1+g94c41c843,42,9,6.494059817420261,0.2784377980644154,True
process__pom3b,process,20000,9,3,0.014055129552894674,1.0.5.dev1+g94c41c843,42,9,6.412511041078462,0.28749877321350426,True
process__pom3c,process,20000,9,3,0.014895137840510442,1.0.5.dev1+g94c41c843,42,9,6.457183961132344,0.2825351154297395,True
process__pom3d,process,500,9,3,,1.0.5.dev1+g94c41c843,42,9,5.7946067940930215,0.356154800656331,False
process__xomo_flight,process,10000,24,4,0.0038060713188923234,1.0.5.dev1+g94c41c843,42,24,2.4834809433835168,0.8965216273590202,True
process__xomo_ground,process,10000,24,4,0.0022122935372372865,1.0.5.dev1+g94c41c843,42,24,2.6588051584455967,0.8892164517314335,True
process__xomo_osp,process,10000,24,4,0.005308992992836603,1.0.5.dev1+g94c41c843,42,24,2.720812396228848,0.886632816823798,True
process__xomo_osp2,process,10000,24,4,0.008262165934985743,1.0.5.dev1+g94c41c843,42,24,4.740096103092819,0.8024959957044658,True
rl__A2C_Acrobot,rl,223,10,3,,1.0.5.dev1+g94c41c843,42,10,0.9847275085850864,0.9015272491414914,False
rl__A2C_CartPole,rl,317,7,4,,1.0.5.dev1+g94c41c843,42,7,1.975384156096871,0.7178022634147327,False
sales_data__Marketing_Analytics,sales_data,2205,31,8,,1.0.5.dev1+g94c41c843,42,31,1.5707673836447527,0.9493300843985564,False
sales_data__accessories,sales_data,1121,14,2,,1.0.5.dev1+g94c41c843,42,14,1.1916981679410645,0.914878702289924,False
sales_data__dress-up,sales_data,882,20,2,,1.0.5.dev1+g94c41c843,42,20,1.2926581232026078,0.9353670938398696,False
sales_data__socks,sales_data,350,20,1,,1.0.5.dev1+g94c41c843,42,20,0.7033794246161513,0.9648310287691925,False
systems__7z,systems,68640,14,1,0.000818124053318825,1.0.5.dev1+g94c41c843,42,14,1.2234735852403766,0.9126090296256874,True
systems__BDBC,systems,2560,16,1,,1.0.5.dev1+g94c41c843,42,16,3.1780868349298226,0.8013695728168861,False
systems__HSQLDB,systems,864,18,1,,1.0.5.dev1+g94c41c843,42,18,2.7354057375160026,0.8480330145824443,False
systems__LLVM,systems,1024,10,1,,1.0.5.dev1+g94c41c843,42,10,2.8781229982311105,0.7121877001768889,False
systems__PostgreSQL,systems,19008,9,1,0.0004008047288049932,1.0.5.dev1+g94c41c843,42,9,0.5541537851974428,0.9384273572002841,True
systems__dconvert,systems,6764,18,1,0.00049183502731176,1.0.5.dev1+g94c41c843,42,18,1.280206417883819,0.9288774212286768,True
systems__deeparch,systems,4096,12,1,,1.0.5.dev1+g94c41c843,42,12,3.381368976050938,0.7182192519957551,False
systems__exastencils,systems,86058,12,1,0.003438822220351523,1.0.5.dev1+g94c41c843,42,12,2.020041402012078,0.8316632164989936,True
systems__javagc,systems,166975,35,1,0.0004219711305180063,1.0.5.dev1+g94c41c843,42,35,1.2852083562304983,0.9632797612505571,True
systems__redis,systems,4400,9,1,,1.0.5.dev1+g94c41c843,42,9,1.4739911459302026,0.8362232060077552,False
systems__storm,systems,1557,12,1,,1.0.5.dev1+g94c41c843,42,12,0.45047297321964025,0.96246058556503,False
systems__x264,systems,53662,17,1,0.002529037401541312,1.0.5.dev1+g94c41c843,42,17,1.3198565157280016,0.9223613814277646,True
test__dataset120,test,4852,9,1,,1.0.5.dev1+g94c41c843,42,9,1.2404935677878794,0.8621673813569023,False
test__dataset600,test,4845,9,1,,1.0.5.dev1+g94c41c843,42,9,1.2769589368597658,0.8581156736822483,False
